created_at,full_text,hashtags,user_mentions
tue jun 02 15:35:26 +0000 2020, rt donald trump made 😓 donald trump trump justiceforgeorgefloyd georgefloyd georgefloydwasmurdered,"trump,justiceforgeorgefloyd,georgefloyd,georgefloydwasmurdered",iamrgbh
tue jun 02 15:35:26 +0000 2020, rt donald trump made 😓 donald trump trump justiceforgeorgefloyd georgefloyd georgefloydwasmurdered,"trump,justiceforgeorgefloyd,georgefloyd,georgefloydwasmurdered",iamrgbh
tue jun 02 15:35:26 +0000 2020, rt donald trump made 😓 donald trump trump justiceforgeorgefloyd georgefloyd georgefloydwasmurdered,"trump,justiceforgeorgefloyd,georgefloyd,georgefloydwasmurdered",iamrgbh
tue jun 02 15:35:26 +0000 2020, rt donald trump made 😓 donald trump trump justiceforgeorgefloyd georgefloyd georgefloydwasmurdered,"trump,justiceforgeorgefloyd,georgefloyd,georgefloydwasmurdered",iamrgbh
tue jun 02 15:35:26 +0000 2020, rt please share video amp vote votebluetosaveamerica,votebluetosaveamerica,"mustangprecious,joebiden"
tue jun 02 15:35:28 +0000 2020, wow hey make sure loot staples macy's wear mask trump,trump,nytimes
tue jun 02 15:35:28 +0000 2020, rapist maga donaldisoverparty donaldtrump,"maga,donaldisoverparty,donaldtrump",realdonaldtrump
tue jun 02 15:35:28 +0000 2020, rapist maga donaldisoverparty donaldtrump,"maga,donaldisoverparty,donaldtrump",realdonaldtrump
tue jun 02 15:35:28 +0000 2020, rapist maga donaldisoverparty donaldtrump,"maga,donaldisoverparty,donaldtrump",realdonaldtrump
tue jun 02 15:35:29 +0000 2020, rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",anonnotices2020
tue jun 02 15:35:29 +0000 2020, rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",anonnotices2020
tue jun 02 15:35:29 +0000 2020, rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",anonnotices2020
tue jun 02 15:35:30 +0000 2020, donald trump jr ist ein idiot,trump,
tue jun 02 15:35:32 +0000 2020, courage battez vous haut et fort et makeamericagreatagain 🧡 votebluetosaveamerica,"makeamericagreatagain,votebluetosaveamerica",joebiden
tue jun 02 15:35:32 +0000 2020, courage battez vous haut et fort et makeamericagreatagain 🧡 votebluetosaveamerica,"makeamericagreatagain,votebluetosaveamerica",joebiden
tue jun 02 15:35:32 +0000 2020, rt donald trump kündigt twitter den kampf und socialmedia mit section230 die leine legen auch der eu setzt de…,"trump,twitter,socialmedia,section230,eu",woelken
tue jun 02 15:35:32 +0000 2020, opdeatheaters trump donaldtrump donaldisoverparty donaldtrumpisarapist potus,"opdeatheaters,trump,donaldtrump,donaldisoverparty,donaldtrumpisarapist,potus",
tue jun 02 15:35:32 +0000 2020, opdeatheaters trump donaldtrump donaldisoverparty donaldtrumpisarapist potus,"opdeatheaters,trump,donaldtrump,donaldisoverparty,donaldtrumpisarapist,potus",
tue jun 02 15:35:32 +0000 2020, opdeatheaters trump donaldtrump donaldisoverparty donaldtrumpisarapist potus,"opdeatheaters,trump,donaldtrump,donaldisoverparty,donaldtrumpisarapist,potus",
tue jun 02 15:35:32 +0000 2020, rt solo queria decir la verdad casablanca anonymuos donaldtrump,"casablanca,anonymuos,donaldtrump",sinjodie
tue jun 02 15:35:33 +0000 2020, rt 🔥 dictatortrump it‘s time go we’ll begin heal elect joe you’ll known end time as 👉racis…,dictatortrump,silveradie
tue jun 02 15:35:33 +0000 2020, “corona de schuld van de chinezen” een roekeloze trump en de ondergang van americanempire …,"trump,americanempire",
tue jun 02 15:35:33 +0000 2020, rt zemmour en censurant trump twitter lui conteste le monopole de la violence légitime que lui confère son mandat de…,"zemmour,trump,twitter",cercleaudace
tue jun 02 15:35:34 +0000 2020, rt anonymuos anonymous michealjackson michaeljacksoninnocent donaldtrump pizzagate,"anonymuos,anonymous,michealjackson,michaeljacksoninnocent,donaldtrump,pizzagate",mutepaster
tue jun 02 15:35:34 +0000 2020, rt sniper secret service secretservice sniper trump police riots washington,"secretservice,sniper,trump,police,riots,washington",jmscaronte
tue jun 02 15:35:34 +0000 2020, rt trump die antifa als terroristische vereinigung verbieten lassen weil sie schuld den unruhen seien der tipp dafür…,trump,heuteshow
tue jun 02 15:35:35 +0000 2020, rt com anarchist trump instigator “in every age tyrant oppressor exploiter ha…,"anarchist,trump,instigator,tyrant,oppressor,exploiter","frma_com,aoc,jk67joan"
tue jun 02 15:35:36 +0000 2020, fai pace col cervello covid19 trump,"covid19,trump",beppesala
tue jun 02 15:35:37 +0000 2020, brilliantly funny profoundly sad truth bunkerbitch bunkerboy trump,"bunkerbitch,bunkerboy,trump",
tue jun 02 15:35:37 +0000 2020, brilliantly funny profoundly sad truth bunkerbitch bunkerboy trump,"bunkerbitch,bunkerboy,trump",
tue jun 02 15:35:37 +0000 2020, rt babes combien est pathétique ce geste de trump se faisant filmer devant l'église épiscopalienne de washington bible à la ma…,"trump,washington,bible",leila_babes
tue jun 02 15:35:37 +0000 2020, rt ks americaortrump police ease protest instead using violence americans trump anom…,"americaortrump,trump",kinsilee_ks
tue jun 02 15:35:38 +0000 2020, rt 13 must f'cking blind dumb stupid fool not see trump time amp time again! look talked a…,trump,snipper_13
