Tweets,hash,Score
 blacklivesmatter fakepresident trumpdementia trumpdeathtoll100k trumpdictatorship votebluetosaveamerica2020…,"blacklivesmatter,fakepresident,trumpdementia,trumpdeathtoll100k,trumpdictatorship,votebluetosaveamerica2020",-1
 unitedforbiden biden2020,"unitedforbiden,biden2020",1
 joebiden joebiden2020 election2020 trump,"joebiden,joebiden2020,election2020,trump",1
 joebiden joebiden2020 election2020 trump,"joebiden,joebiden2020,election2020,trump",1
 marine yeah right! the greatest liar of all time!!! biden2020,biden2020,1
 rt latest opinionpolls show joebiden beating donaldtrump comfortable margin 5 months go things could change …,"opinionpolls,joebiden,donaldtrump",1
 we sure try biden2020,biden2020,1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt yourvoteisyourvoice getoutthevote upanddowntheballot flipitblue keepthehouse biden2020,"yourvoteisyourvoice,getoutthevote,upanddowntheballot,flipitblue,keepthehouse,biden2020",1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt presidentbiden biden2020 🇺🇸,"presidentbiden,biden2020",1
 rt presidentbiden biden2020 🇺🇸,"presidentbiden,biden2020",1
 rt agreed! america desperately needs change you! biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt saveamerica extreme danger trump cult biden2020 dangerousdonald,"saveamerica,biden2020,dangerousdonald",1
 are going vote office joebiden2020,joebiden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt think stand persevere vote! we must overcome every obstacle deliver landslide november biden2020 joe bi…,biden2020,1
 time get uneducated amoral racist fake christians wh biden2020,biden2020,1
 rt locks is biden2020 talking byrd qanon qanonuk,"biden2020,byrd,qanon,qanonuk",1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 mccord biden2020 trumpdeathtoll106k,"biden2020,trumpdeathtoll106k",1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt this indianapolis this impd anonymous anonymus blacklivesmatter donaldtrump georgefloyd icantbreath prot…,"anonymous,anonymus,blacklivesmatter,donaldtrump,georgefloyd,icantbreath",-1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt saveamerica extreme danger trump cult biden2020 dangerousdonald,"saveamerica,biden2020,dangerousdonald",1
 let burn biden2020,biden2020,1
 rt the moment happened seattleprotest anonymous anonymus blacklivesmatter antifaterrorist donaldtrump geor…,"seattleprotest,anonymous,anonymus,blacklivesmatter,antifaterrorist,donaldtrump",-1
 rt rt please we let everyone see video dictatortrump anonymous anonymus blacklivesmatter donaldtrump…,"dictatortrump,anonymous,anonymus,blacklivesmatter,donaldtrump",-1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt presidentbiden biden2020 🇺🇸,"presidentbiden,biden2020",1
 rt presidentbiden biden2020 🇺🇸,"presidentbiden,biden2020",1
 don't innocent people plow fake ass christian photo op somewhere biden2020,biden2020,1
 thank you’re leadership your speech today american people needed we need president biden2020,biden2020,1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 sounds like endorsement biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt füh·rer trump thanked turning u s military against american citizens fuhrertrump biden2020 https…,"fuhrertrump,biden2020",1
 biden man ready lead america biden2020,biden2020,1
 rt make happen! ridinwithbiden biden2020 teamjoe gojoe,"ridinwithbiden,biden2020,teamjoe,gojoe",1
 biden2020 presidentbiden presidentialaddress,"biden2020,presidentbiden,presidentialaddress",1
 biden2020 presidentbiden presidentialaddress,"biden2020,presidentbiden,presidentialaddress",1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt rt please we let everyone see video dictatortrump anonymous anonymus blacklivesmatter donaldtrump…,"dictatortrump,anonymous,anonymus,blacklivesmatter,donaldtrump",-1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt trumpresignnow resignnowtrump biden2020,"trumpresignnow,resignnowtrump,biden2020",1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 blacklivesmatter blackoutday blackoutday2020,"blacklivesmatter,blackoutday,blackoutday2020",-1
 i'll never forgive blatant atheist campaigning biden2020 foxnews today incident t…,"biden2020,foxnews",1
 great speech today joe! bidenforpresident2020 biden2020 biden2020landslide blacklivesmatter,"bidenforpresident2020,biden2020,biden2020landslide,blacklivesmatter",1
 great speech today joe! bidenforpresident2020 biden2020 biden2020landslide blacklivesmatter,"bidenforpresident2020,biden2020,biden2020landslide,blacklivesmatter",1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt i'll never forgive blatant atheist campaigning biden2020 foxnews today incident thei…,"biden2020,foxnews",1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt the moment happened seattleprotest anonymous anonymus blacklivesmatter antifaterrorist donaldtrump geor…,"seattleprotest,anonymous,anonymus,blacklivesmatter,antifaterrorist,donaldtrump",-1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 it work us america blacklivesmatter biden2020 voteouthate vote,"blacklivesmatter,biden2020,voteouthate,vote",-1
 it work us america blacklivesmatter biden2020 voteouthate vote,"blacklivesmatter,biden2020,voteouthate,vote",-1
 rt munroe america history policebrutality trump blmprotest biden2020 maybe time america's truth reconcilia…,"america,history,policebrutality,trump,blmprotest,biden2020",1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt biden church photo op first better resist biden2020 trumpchurchphotoop,"resist,biden2020,trumpchurchphotoop",1
 biden may better speech obama biden2020,biden2020,1
 get out there and vote!! primaryday primaries vote joebiden2020 blacklivesmatter,"primaryday,primaries,vote,joebiden2020,blacklivesmatter",1
 get out there and vote!! primaryday primaries vote joebiden2020 blacklivesmatter,"primaryday,primaries,vote,joebiden2020,blacklivesmatter",1
 rt this fake church visit fakepresident biden2020,"fakepresident,biden2020",1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt trumpresignnow resignnowtrump biden2020,"trumpresignnow,resignnowtrump,biden2020",1
 rt the moment happened seattleprotest anonymous anonymus blacklivesmatter antifaterrorist donaldtrump geor…,"seattleprotest,anonymous,anonymus,blacklivesmatter,antifaterrorist,donaldtrump",-1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt agreed! america desperately needs change you! biden2020,biden2020,1
 joe biden’s campaign strategy 1 pander 2 pander 3 pander biden2020,biden2020,1
 biden2020 joebiden joebiden2020 gojoe2020 votebluetoendthisnightmare,"biden2020,joebiden,joebiden2020,gojoe2020,votebluetoendthisnightmare",1
 biden2020 joebiden joebiden2020 gojoe2020 votebluetoendthisnightmare,"biden2020,joebiden,joebiden2020,gojoe2020,votebluetoendthisnightmare",1
 biden2020 joebiden joebiden2020 gojoe2020 votebluetoendthisnightmare,"biden2020,joebiden,joebiden2020,gojoe2020,votebluetoendthisnightmare",1
 biden2020 joebiden joebiden2020 gojoe2020 votebluetoendthisnightmare,"biden2020,joebiden,joebiden2020,gojoe2020,votebluetoendthisnightmare",1
 what a joke dumptrump trumpdictatorship trumpresignnow biden2020,"dumptrump,trumpdictatorship,trumpresignnow,biden2020",1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt the moment happened seattleprotest anonymous anonymus blacklivesmatter antifaterrorist donaldtrump geor…,"seattleprotest,anonymous,anonymus,blacklivesmatter,antifaterrorist,donaldtrump",-1
 rt gross 👇 douche biden2020,biden2020,1
 dnc biden2020 nancypelosi 2020election biden,"dnc,biden2020,nancypelosi,2020election,biden",1
 dnc biden2020 nancypelosi 2020election biden,"dnc,biden2020,nancypelosi,2020election,biden",1
 rt the moment happened seattleprotest anonymous anonymus blacklivesmatter antifaterrorist donaldtrump geor…,"seattleprotest,anonymous,anonymus,blacklivesmatter,antifaterrorist,donaldtrump",-1
 what a book interestingly words biden2020 blacklivesmatter 2020protests,"biden2020,blacklivesmatter,2020protests",1
 what a book interestingly words biden2020 blacklivesmatter 2020protests,"biden2020,blacklivesmatter,2020protests",1
 rt blacklivesmatter donaldtrump freedomofspeech jeffreyepstein,"blacklivesmatter,donaldtrump,freedomofspeech,jeffreyepstein",-1
 biden2020,biden2020,1
 rt fr 🇺🇸 manifestations blacklivesmatter pour trump il n'y eu aucun problème à washingtondc hier et une domination …,"blacklivesmatter,trump,washingtondc",-1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 anonymousvsconvoy blackoutday blacklivesmatter racismo donaldtrump hay más grabaciones donde comienzan las ap…,"anonymousvsconvoy,blackoutday,blacklivesmatter,racismo,donaldtrump",-1
 rt this indianapolis this impd anonymous anonymus blacklivesmatter donaldtrump georgefloyd icantbreath prot…,"anonymous,anonymus,blacklivesmatter,donaldtrump,georgefloyd,icantbreath",-1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 biden2020 everybody better trump everybody,"biden2020,trump,everybody",1
 biden2020,biden2020,1
 biden2020,biden2020,1
 just blacklivesmatter blackoutday blackoutday2020 blackoutuesday donaldtrump trumpdictatorship trump…,"blacklivesmatter,blackoutday,blackoutday2020,blackoutuesday,donaldtrump,trumpdictatorship,trump",-1
 hboriginal i'm guessing donaldtrump supporter hboriginal 🙄 blacklivesmatter,"donaldtrump,blacklivesmatter",-1
 rt i want able watch speech president like i watched speech morning resist biden2020,"resist,biden2020",1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 yes unifying speech blacklivesmatter biden2020,"blacklivesmatter,biden2020",-1
 yes unifying speech blacklivesmatter biden2020,"blacklivesmatter,biden2020",-1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 notmypresident joebiden2020 removeandconvicttrump,"notmypresident,joebiden2020,removeandconvicttrump",1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt rt please we let everyone see video dictatortrump anonymous anonymus blacklivesmatter donaldtrump…,"dictatortrump,anonymous,anonymus,blacklivesmatter,donaldtrump",-1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt the moment happened seattleprotest anonymous anonymus blacklivesmatter antifaterrorist donaldtrump geor…,"seattleprotest,anonymous,anonymus,blacklivesmatter,antifaterrorist,donaldtrump",-1
 rt give guy medal lol😂 blacklivesmatter usaonfire usaprotests usariots gerorgefloyd gerogefloydprotest houston ho…,"blacklivesmatter,usaonfire,usaprotests,usariots,gerorgefloyd,gerogefloydprotest,houston",-1
 just blacklivesmatter blackoutday blackoutday2020 blackoutuesday donaldtrump trumpdictatorship trump…,"blacklivesmatter,blackoutday,blackoutday2020,blackoutuesday,donaldtrump,trumpdictatorship,trump",-1
 rt romulo 86 y este señor pretende ser presidente de usa pedofilo biden2020,"usa,pedofilo,biden2020",1
 i'll never forgive blatant atheist campaigning biden2020 foxnews today i…,"biden2020,foxnews",1
 rt rt please we let everyone see video dictatortrump anonymous anonymus blacklivesmatter donaldtrump…,"dictatortrump,anonymous,anonymus,blacklivesmatter,donaldtrump",-1
 rt anonymousvsconvoy blackoutday blacklivesmatter racismo donaldtrump hay más grabaciones donde comienzan las apuestas 10…,"anonymousvsconvoy,blackoutday,blacklivesmatter,racismo,donaldtrump",-1
 rt uspoli donnyt trumpresignnow incendiary cartoon uspolitics trumpresignnow maga …,"uspoli,trumpresignnow,uspolitics,trumpresignnow,maga",0
 rt bear 08 trumpresignnow biden2020,"trumpresignnow,biden2020",1
 rt rt please we let everyone see video dictatortrump anonymous anonymus blacklivesmatter donaldtrump…,"dictatortrump,anonymous,anonymus,blacklivesmatter,donaldtrump",-1
 joebiden2020,joebiden2020,1
 blacklivesmatter biden2020,"blacklivesmatter,biden2020",-1
 blacklivesmatter biden2020,"blacklivesmatter,biden2020",-1
 and growing! by the hour joebidenistheleaderweneed joebiden2020 biden2020landslide bidenisaleader,"joebidenistheleaderweneed,joebiden2020,biden2020landslide,bidenisaleader",1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 anonymous blacklivesmatter justiceforalajunayedavis,"anonymous,blacklivesmatter,justiceforalajunayedavis",-1
 rt trumpresignnow resignnowtrump biden2020,"trumpresignnow,resignnowtrump,biden2020",1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 trump evil bunkerboytrump trumpincitesviolence americansagainsttrump blacklivesmatters biden2020,"bunkerboytrump,trumpincitesviolence,americansagainsttrump,blacklivesmatters,biden2020",1
 biden2020,biden2020,1
 trumpresignnow biden2020 bunkerbitch,"trumpresignnow,biden2020,bunkerbitch",1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 reminded means president thank biden2020 votebidentosaveamerica2020,"biden2020,votebidentosaveamerica2020",1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt the moment happened seattleprotest anonymous anonymus blacklivesmatter antifaterrorist donaldtrump geor…,"seattleprotest,anonymous,anonymus,blacklivesmatter,antifaterrorist,donaldtrump",-1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 biden2020,biden2020,1
 rt make happen! ridinwithbiden biden2020 teamjoe gojoe,"ridinwithbiden,biden2020,teamjoe,gojoe",1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 “the presidency duty care” read joe biden’s full speech george floyd’s death biden2020…,biden2020,1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt anonymousvsconvoy blackoutday blacklivesmatter racismo donaldtrump hay más grabaciones donde comienzan las apuestas 10…,"anonymousvsconvoy,blackoutday,blacklivesmatter,racismo,donaldtrump",-1
 bunkerbitch biden2020 trumpresignnow,"bunkerbitch,biden2020,trumpresignnow",1
 rt anonymousvsconvoy blackoutday blacklivesmatter racismo donaldtrump hay más grabaciones donde comienzan las apuestas 10…,"anonymousvsconvoy,blackoutday,blacklivesmatter,racismo,donaldtrump",-1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 presidential vote voteblue biden2020 bidenforpresident2020 november3rd,"presidential,vote,voteblue,biden2020,bidenforpresident2020,november3rd",1
 but but enthusiasm gap!!! in november vote biden2020,biden2020,1
 this leader president proud biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt rt please we let everyone see video dictatortrump anonymous anonymus blacklivesmatter donaldtrump…,"dictatortrump,anonymous,anonymus,blacklivesmatter,donaldtrump",-1
 what good soul man i hope alive 🙏🏿🙏🏾🙏🏽❤the cops monsters blacklivesmatter,blacklivesmatter,-1
 rt this fake church visit fakepresident biden2020,"fakepresident,biden2020",1
 rt breaking the police destroying own cars blame protestors blacklivesmatter wtf!! caught camera…,blacklivesmatter,-1
 you tell him joe!!! biden2020 bidenforpresident2020 votejoebiden2020 votebidentosaveamerica votebluetosaveamerica2020,"biden2020,bidenforpresident2020,votejoebiden2020,votebidentosaveamerica,votebluetosaveamerica2020",1
 you tell him joe!!! biden2020 bidenforpresident2020 votejoebiden2020 votebidentosaveamerica votebluetosaveamerica2020,"biden2020,bidenforpresident2020,votejoebiden2020,votebidentosaveamerica,votebluetosaveamerica2020",1
 we live uk but figure vote remotely biden2020,biden2020,1
 rt com's crosstalk discussing dnc's looming buyer's remorse biden2020 bider's remorse amnes…,"dnc,biden2020",1
 rt this indianapolis this impd anonymous anonymus blacklivesmatter donaldtrump georgefloyd icantbreath prot…,"anonymous,anonymus,blacklivesmatter,donaldtrump,georgefloyd,icantbreath",-1
 rt è giusto far vedere anche l’altra parte dell’america trump continui pensare che siamo deboli blacklivesmatter don…,blacklivesmatter,-1
 rt this indianapolis this impd anonymous anonymus blacklivesmatter donaldtrump georgefloyd icantbreath prot…,"anonymous,anonymus,blacklivesmatter,donaldtrump,georgefloyd,icantbreath",-1
 and right recognize inappropriate self serving without explanation biden2020,biden2020,1
 close door way mr t i don’t think you’ll missed joebiden2020,joebiden2020,1
 biden2020,biden2020,1
 rt the moment happened seattleprotest anonymous anonymus blacklivesmatter antifaterrorist donaldtrump geor…,"seattleprotest,anonymous,anonymus,blacklivesmatter,antifaterrorist,donaldtrump",-1
 biden2020 bunkerbitch trumpresignnow,"biden2020,bunkerbitch,trumpresignnow",1
 joebiden leader trumpisanidiot trumpisadomesticterrorist unfit walk w h never forget every rep…,"joebiden,trumpisanidiot,trumpisadomesticterrorist",1
 thank mr president everything especially you inspiration much biden2020,biden2020,1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 biden biden2020,"biden,biden2020",1
 biden biden2020,"biden,biden2020",1
 now real leader biden2020 bidenforpresident2020,"biden2020,bidenforpresident2020",1
 rt this indianapolis this impd anonymous anonymus blacklivesmatter donaldtrump georgefloyd icantbreath prot…,"anonymous,anonymus,blacklivesmatter,donaldtrump,georgefloyd,icantbreath",-1
 rt i'll never forgive blatant atheist campaigning biden2020 foxnews today inci…,"biden2020,foxnews",1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt bear 08 even fox news! biden2020 presidentbiden biden2020landslide bidenforpresident2020 …,"biden2020,presidentbiden,biden2020landslide,bidenforpresident2020",1
 rt bear 08 even fox news! biden2020 presidentbiden biden2020landslide bidenforpresident2020 …,"biden2020,presidentbiden,biden2020landslide,bidenforpresident2020",1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 biden2020 💙🇺🇸💙,biden2020,1
 pourvu que cela se révèle exact! blakelivesmatter notoracism joebiden2020 ripgeorgefloyd,"blakelivesmatter,notoracism,joebiden2020,ripgeorgefloyd",1
 joebiden2020 votejoebidentosaveamerica voteforbiden gojoe,"joebiden2020,votejoebidentosaveamerica,voteforbiden,gojoe",1
 joebiden2020 votejoebidentosaveamerica voteforbiden gojoe,"joebiden2020,votejoebidentosaveamerica,voteforbiden,gojoe",1
 biden2020,biden2020,1
 messed wrong guy 😬 blackoutuesday blacklivesmatter donaldtrump riots takedown blakelivesmatter,"blackoutuesday,blacklivesmatter,donaldtrump,riots,takedown,blakelivesmatter",-1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 biden2020 grandpajoe unitedwestand,"biden2020,grandpajoe,unitedwestand",1
 rt bear 08 even fox news! biden2020 presidentbiden biden2020landslide bidenforpresident2020 …,"biden2020,presidentbiden,biden2020landslide,bidenforpresident2020",1
 rt bear 08 even fox news! biden2020 presidentbiden biden2020landslide bidenforpresident2020 …,"biden2020,presidentbiden,biden2020landslide,bidenforpresident2020",1
 rt rt please we let everyone see video dictatortrump anonymous anonymus blacklivesmatter donaldtrump…,"dictatortrump,anonymous,anonymus,blacklivesmatter,donaldtrump",-1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 jeanpierre great job! this leadership need biden2020,biden2020,1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt rt please we let everyone see video dictatortrump anonymous anonymus blacklivesmatter donaldtrump…,"dictatortrump,anonymous,anonymus,blacklivesmatter,donaldtrump",-1
 biden2020 bunkerbitch trumpresignnow,"biden2020,bunkerbitch,trumpresignnow",1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 biden2020,biden2020,1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt i want able watch speech president like i watched speech morning resist biden2020,"resist,biden2020",1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt blu girl i donated campaign! it’s time mobilize behind joebiden2020 uplift get wh!!! …,joebiden2020,1
 the best news november 3rd biden2020,biden2020,1
 i really wish you’d silent! blacklivesmatter 100 000 people died alllivesmatters biden2020,"blacklivesmatter,alllivesmatters,biden2020",-1
 i really wish you’d silent! blacklivesmatter 100 000 people died alllivesmatters biden2020,"blacklivesmatter,alllivesmatters,biden2020",-1
 rt the moment happened seattleprotest anonymous anonymus blacklivesmatter antifaterrorist donaldtrump geor…,"seattleprotest,anonymous,anonymus,blacklivesmatter,antifaterrorist,donaldtrump",-1
 rt no citizens harmed filming moment biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt rt please we let everyone see video dictatortrump anonymous anonymus blacklivesmatter donaldtrump…,"dictatortrump,anonymous,anonymus,blacklivesmatter,donaldtrump",-1
 blacklivesmatter,blacklivesmatter,-1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 👏🏻👏🏻👏🏻👏🏻 biden2020,biden2020,1
 biden2020,biden2020,1
 rt the moment happened seattleprotest anonymous anonymus blacklivesmatter antifaterrorist donaldtrump geor…,"seattleprotest,anonymous,anonymus,blacklivesmatter,antifaterrorist,donaldtrump",-1
 biden2020!!! d removethetyrant!!,"biden2020,removethetyrant",1
 rt the moment happened seattleprotest anonymous anonymus blacklivesmatter antifaterrorist donaldtrump geor…,"seattleprotest,anonymous,anonymus,blacklivesmatter,antifaterrorist,donaldtrump",-1
 fu biden2020,biden2020,1
 totally negates statement mourn george floyd not like anyone believed anyway biden2020…,biden2020,1
 igojoe ridinwithbiden way 1600 pennsylvania ave! biden2020 🇺🇸🇺🇸🇺🇸 readyondayone🇺🇸🇺🇸🇺🇸,"igojoe,ridinwithbiden,biden2020,readyondayone",1
 president looks sounds like joebiden2020,joebiden2020,1
 thecyberstuff dumptrump2020 dumptrump votetrumpout vote2020 ridinwithbiden biden…,"thecyberstuff,dumptrump2020,dumptrump,votetrumpout,vote2020,ridinwithbiden,biden",0
 rt j'entends sur lci que selon le dernier sondage le candidat démocrate joebiden dépasserait donaldtrump de 10 points 53 …,"lci,joebiden,donaldtrump",0
 rt rt please we let everyone see video dictatortrump anonymous anonymus blacklivesmatter donaldtrump…,"dictatortrump,anonymous,anonymus,blacklivesmatter,donaldtrump",-1
 rt the moment happened seattleprotest anonymous anonymus blacklivesmatter antifaterrorist donaldtrump geor…,"seattleprotest,anonymous,anonymus,blacklivesmatter,antifaterrorist,donaldtrump",-1
 biden2020 bunkerbitch trumpresignnow,"biden2020,bunkerbitch,trumpresignnow",1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 biden2020,biden2020,1
 hahaha thread biden2020,biden2020,1
 rt please enjoy today's donaldtrump cartoon blacklivesmatter,"donaldtrump,blacklivesmatter",-1
 rt trump maga donaldtrump usa republican america memes conservative politics kag meme makeameri…,"trump,maga,donaldtrump,usa,republican,america,memes,conservative,politics,kag,meme",0
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 explain shit blacklivesmatter,blacklivesmatter,-1
 biden2020,biden2020,1
 this happens blacklivesmatter georgefloyd youngblackmen,"blacklivesmatter,georgefloyd,youngblackmen",-1
 rt rt please we let everyone see video dictatortrump anonymous anonymus blacklivesmatter donaldtrump…,"dictatortrump,anonymous,anonymus,blacklivesmatter,donaldtrump",-1
 rt trumpresignnow resignnowtrump biden2020,"trumpresignnow,resignnowtrump,biden2020",1
 biden2020 joebiden,"biden2020,joebiden",1
 biden2020 joebiden,"biden2020,joebiden",1
 that sums trump maga donaldtrump usa republican…,"trump,maga,donaldtrump,usa,republican",0
 rt a true leader the next president of the united states of america biden2020 joebiden,"biden2020,joebiden",1
 rt a true leader the next president of the united states of america biden2020 joebiden,"biden2020,joebiden",1
 ballots bullets! it feels like eternity election day biden2020 ballotsoverbullets,"biden2020,ballotsoverbullets",1
 there goes thanking third person 😅 fragileego donaldtrump blacklivesmatter,"fragileego,donaldtrump,blacklivesmatter",-1
 go crawl rock ferment like orange peels loser biden2020,biden2020,1
 lol you don't get we less interested joebiden getting something done we need mak…,joebiden,1
 rt that sums trump maga donaldtrump usa republican amer…,"trump,maga,donaldtrump,usa,republican",0
 rt it wonderful hearing american president speak thank presidentbiden speaking openly honestly our…,presidentbiden,1
 a much needed tuesday laugh i wish simple! biden2020 gojoe,"biden2020,gojoe",1
 people check epstein series netflix yep uh huh that president like missingobama joebiden2020 resist,"missingobama,joebiden2020,resist",1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 i think scared american people! sad! blacklivesmatter joebiden2020 firetrump vote2020,"blacklivesmatter,joebiden2020,firetrump,vote2020",-1
 i think scared american people! sad! blacklivesmatter joebiden2020 firetrump vote2020,"blacklivesmatter,joebiden2020,firetrump,vote2020",-1
 rt here's handy election guide vote guy didn't gas americans could take photo biden2020,biden2020,1
 pa primary straight dem imridingwithbiden biden2020 bidenforpresident2020,"imridingwithbiden,biden2020,bidenforpresident2020",1
 oop dictatortrump blacklivesmatter donaldtrump,"dictatortrump,blacklivesmatter,donaldtrump",-1
 joebiden2020 stopthemadness,"joebiden2020,stopthemadness",1
 🇺🇸🇺🇸🇺🇸 biden2020 🇺🇸🇺🇸🇺🇸,biden2020,1
 yes joebiden2020,joebiden2020,1
 rt the moment happened seattleprotest anonymous anonymus blacklivesmatter antifaterrorist donaldtrump geor…,"seattleprotest,anonymous,anonymus,blacklivesmatter,antifaterrorist,donaldtrump",-1
 words comfort unknown trump biden2020,biden2020,1
 thecyberstuff dumptrump2020 dumptrump votetrumpout vote2020 ridinwithbiden biden…,"thecyberstuff,dumptrump2020,dumptrump,votetrumpout,vote2020,ridinwithbiden,biden",0
 rt trumpresignnow resignnowtrump biden2020,"trumpresignnow,resignnowtrump,biden2020",1
 biden2020 anythingbutthegop,"biden2020,anythingbutthegop",1
 rt boom!! joe biden dominates trump with real presidential speech in philly biden2020,biden2020,1
 you're lowlife scum no bottom hell! trumpownseverydeath biden2020 trumpmeltdown…,"trumpownseverydeath,biden2020,trumpmeltdown",1
