Tweets,hash,Score
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 joebiden unity purpose compassion leadership joe biden promises won't fan flames hate' powerful s…,"joebiden,unity,purpose,compassion,leadership",1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt mypresident mask wearing ray ban sporting occassionally gaffe making joebiden for experience knowl…,"mypresident,joebiden",-1
 rt joe biden for president 2020 biden2020 teamjoe joebiden,"biden2020,teamjoe,joebiden",1
 rt joe biden for president 2020 biden2020 teamjoe joebiden,"biden2020,teamjoe,joebiden",1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 lowlifeandscum bidendropout democratantifa bidenharris2020 joebiden bidengate hunterbiden senatehearing…,"lowlifeandscum,bidendropout,democratantifa,bidenharris2020,joebiden,bidengate,hunterbiden,senatehearing",-1
 joebiden,joebiden,0
 clinton hearing live audio rt others hear clintonemails maga america trump hillaryclinton…,"clintonemails,maga,america,trump,hillaryclinton",0
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 no see actually work years rly win biden supporters didn’t shit…,biden,1
 biden “ trump’ın egosu liderlik etmesi gereken ülkesinde daha büyük ”,"biden,trump",0
 rt hey america looks exactly like fascism trump blacklivesmatter protests2020,"trump,blacklivesmatter,protests2020",-1
 rt philadelphia residents marching baseball bats! georgefloyd riots blacklivesmatter protests protests2020 ny…,"philadelphia,georgefloyd,riots,blacklivesmatter,protests,protests2020",-1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt joebiden given sort speech president united states given time crisis …,joebiden,-1
 joebiden,joebiden,0
 rt dumptrump2020 icantbreathe blacklivesmatter trump usa this real donald trump,"dumptrump2020,icantbreathe,blacklivesmatter,trump,usa",-1
 rt hey joebiden bail “protestors” yet,joebiden,0
 and not biden,biden,0
 rt the moment happened seattleprotest anonymous anonymus blacklivesmatter antifaterrorist donaldtrump geor…,"seattleprotest,anonymous,anonymus,blacklivesmatter,antifaterrorist,donaldtrump",-1
 i hope know bible joebiden heading straight hell unless drop anti christ ways joebidenisracist,"joebiden,joebidenisracist",-1
 i hope know bible joebiden heading straight hell unless drop anti christ ways joebidenisracist,"joebiden,joebidenisracist",-1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 see coverage compares against news outlets ground news joebiden donaldtrump georgefloyd…,"joebiden,donaldtrump,georgefloyd",0
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt if watching joebiden right american president speaks like acts like encourages peo…,joebiden,1
 rt this indianapolis this impd anonymous anonymus blacklivesmatter donaldtrump georgefloyd icantbreath prot…,"anonymous,anonymus,blacklivesmatter,donaldtrump,georgefloyd,icantbreath",-1
 rt joebiden given sort speech president united states given time crisis …,joebiden,-1
 see coverage compares against news outlets ground news joebiden donaldtrump georgefloyd…,"joebiden,donaldtrump,georgefloyd",0
 joebiden antifa,joebiden,0
 who prosecuting looters out damaging american businesses blacklivesmatter donaldtrump…,"blacklivesmatter,donaldtrump",-1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt this indianapolis this impd anonymous anonymus blacklivesmatter donaldtrump georgefloyd icantbreath prot…,"anonymous,anonymus,blacklivesmatter,donaldtrump,georgefloyd,icantbreath",-1
 rt please watch powerful please reshare repost thank you ❤️❤️❤️ blacklivesmatter …,blacklivesmatter,-1
 biden,biden,0
 rt joebiden his narcissism become important nation leads preach mr president! preach!,joebiden,1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt infiltration vs invasion selling america biden china do chinese like losing do chinese want potus removed rep…,"biden,china",1
 presidentbiden votejoebidentosaveamerica msn better cover joebiden today or another 2016,"presidentbiden,votejoebidentosaveamerica,msn,joebiden",1
 presidentbiden votejoebidentosaveamerica msn better cover joebiden today or another 2016,"presidentbiden,votejoebidentosaveamerica,msn,joebiden",1
 presidentbiden votejoebidentosaveamerica msn better cover joebiden today or another 2016,"presidentbiden,votejoebidentosaveamerica,msn,joebiden",1
 rt breaking shooting reported losangeles! minneapolis georgefloyd riots blacklivesmatter usariot usaonfir…,"breaking,losangeles,minneapolis,georgefloyd,riots,blacklivesmatter,usariot",-1
 rt if nevertrumpneverbiden like has recent events trump's rhetoric changed mind voting joebiden,"nevertrumpneverbiden,joebiden",1
 rt if nevertrumpneverbiden like has recent events trump's rhetoric changed mind voting joebiden,"nevertrumpneverbiden,joebiden",1
 rt this worst advice possible subject no surprise comes joe biden guns joebiden po…,"guns,joebiden",-1
 this idiot👉🏿 trump helped jumpstart biden2020 campaign stupidity!!,"trump,biden2020",1
 rt infiltration vs invasion selling america biden china do chinese like losing do chinese want potus removed rep…,"biden,china",1
 rt but joebiden democratantifa buddies bail “protestors” they better hurry there are…,"joebiden,democratantifa",1
 this joebiden america! vote democrats trump2020,"joebiden,trump2020",0
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 i agree trumpfuck baby but i not happy biden choice we lucky if…,"trumpfuck,biden",1
 rt dumptrump2020 icantbreathe blacklivesmatter trump usa this real donald trump,"dumptrump2020,icantbreathe,blacklivesmatter,trump,usa",-1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 listening joebiden morning made remember like potus please restore country bri…,"joebiden,potus",1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 लगेगी आग तो आएंगे घर कई जद में यहां पे सिर्फ हमारा मकान थोड़ी है usariots blacklivesmatter trump,"usariots,blacklivesmatter,trump",-1
 rt i agree joebiden there nomoreexcuses change come voteblue record numbers so are…,"joebiden,nomoreexcuses,voteblue",1
 rt i agree joebiden there nomoreexcuses change come voteblue record numbers so are…,"joebiden,nomoreexcuses,voteblue",1
 rt joebiden never denounced looters rioters violence why aren’t democrats,joebiden,-1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt we need joebiden help us restore soul america,joebiden,1
 grunge antifa crookedhillary biden ukraine,"antifa,crookedhillary,biden,ukraine",0
 rt 07 this photo go round world 😭😭 americaortrump dictatortrump blacklivesmatter trump,"americaortrump,dictatortrump,blacklivesmatter,trump",-1
 joebiden defended 94 crime bill said shoot protesters leg instead heart!! are you…,"joebiden,protesters",-1
 listening joebiden like music ears a healing process most…,joebiden,1
 rt i want nomoreexcuses president i vote joebiden 157 days gojoe2020 freshtweets …,"nomoreexcuses,joebiden,gojoe2020,freshtweets",1
 rt i want nomoreexcuses president i vote joebiden 157 days gojoe2020 freshtweets …,"nomoreexcuses,joebiden,gojoe2020,freshtweets",1
 rt i want nomoreexcuses president i vote joebiden 157 days gojoe2020 freshtweets …,"nomoreexcuses,joebiden,gojoe2020,freshtweets",1
 rt joebiden given sort speech president united states given time crisis …,joebiden,-1
 trump losing soundcloud georgefloyd blacklivesmatter dictatortrump protests2020 trump,"soundcloud,georgefloyd,blacklivesmatter,dictatortrump,protests2020,trump",-1
 rt blacklivesmatter protests2020 martiallaw2020 the followers jesus appalled dona…,"blacklivesmatter,protests2020,martiallaw2020,jesus",-1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt joebiden guess showing compassion listening it ain't trump!!!,joebiden,1
 rt i’m still not voting joebiden i’m not voting orange guy either,joebiden,0
 rt sorry but 20 years watching dems enable gop democratic speeches empty words biden,biden,-1
 rt we moment history rectify many wrongs and joebiden candidate hope i seriously can’t…,joebiden,1
 rt but joebiden democratantifa buddies bail “protestors” they better hurry there are…,"joebiden,democratantifa",1
 rt contrary joebiden claim i don't vote iaintblack 🙄 kanye said i don't 🤷🏾‍♀️ getaclue …,"joebiden,iaintblack,getaclue",0
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 antifa crookedhillary biden ukraine,"antifa,crookedhillary,biden,ukraine",0
 كل شي على ما يرام 😄🤣 trump icantbreath usa whitehouse us georgefloyd blacklivesmatter annomynous,"trump,icantbreath,usa,whitehouse,us,georgefloyd,blacklivesmatter,annomynous",-1
 icantbreathe 25thamendmentnow blacklivesmatter ericgarner anomymous americaortrump notmypresident…,"icantbreathe,25thamendmentnow,blacklivesmatter,ericgarner,anomymous,americaortrump,notmypresident",-1
 blacklivesmatter,blacklivesmatter,-1
 joebiden kiss ass political bs speech made made shit thruout speech and…,joebiden,-1
 rt taking knee trump potus georgefloydprotests georgefloyd blacklivesmatter …,"trump,potus,georgefloydprotests,georgefloyd,blacklivesmatter",-1
 rt this indianapolis this impd anonymous anonymus blacklivesmatter donaldtrump georgefloyd icantbreath prot…,"anonymous,anonymus,blacklivesmatter,donaldtrump,georgefloyd,icantbreath",-1
 rt mypresident mask wearing ray ban sporting occassionally gaffe making joebiden for experience knowl…,"mypresident,joebiden",-1
 blackouttuesday maga trump,"blackouttuesday,maga,trump",0
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt if watching joebiden right american president speaks like acts like encourages peo…,joebiden,1
 rt listening joebiden morning made remember like potus please restore country bring b…,"joebiden,potus",1
 rt this worst advice possible subject no surprise comes joe biden guns joebiden po…,"guns,joebiden",-1
 rt this leader sounds like thank joebiden,joebiden,1
 it's ok white blacklivesmatter feminism cnn trump islam hillaryclinton berniesanders itsoktobewhite alllivesmatter,"blacklivesmatter,feminism,cnn,trump,islam,hillaryclinton,berniesanders,itsoktobewhite,alllivesmatter",-1
 trump maga,"trump,maga",0
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt sorry but 20 years watching dems enable gop democratic speeches empty words biden,biden,-1
 rt rt please we let everyone see video dictatortrump anonymous anonymus blacklivesmatter donaldtrump…,"dictatortrump,anonymous,anonymus,blacklivesmatter,donaldtrump",-1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt union die usa armee bringt sich stellung trump den bürgerkrieg blacklivesmatter ms,"usa,trump,blacklivesmatter",-1
 gee sounds um presidential joebiden joebiden2020,"joebiden,joebiden2020",1
 gee sounds um presidential joebiden joebiden2020,"joebiden,joebiden2020",1
 rt guess didn’t tear gassed american citizens actually go inside church joebiden,joebiden,0
 vp 8 years biden trump,"vp,biden,trump",0
 rt arubalover please don't strongertogether bluewave votebluetosaveamerica2020 votejoebiden2020 …,"strongertogether,bluewave,votebluetosaveamerica2020,votejoebiden2020",1
 rt rt please we let everyone see video dictatortrump anonymous anonymus blacklivesmatter donaldtrump…,"dictatortrump,anonymous,anonymus,blacklivesmatter,donaldtrump",-1
 trump pence 2016 maga makeamericagreatagain neverhillary crookedhillary trump,"maga,makeamericagreatagain,neverhillary,crookedhillary,trump",0
 rt sorry but 20 years watching dems enable gop democratic speeches empty words biden,biden,-1
 rt i think joebiden win election election2020 votehimout,"joebiden,election2020,votehimout",1
 the joebiden bar low isn't if utters complete sentence lucidly tweet worthy,joebiden,1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt sorry but 20 years watching dems enable gop democratic speeches empty words biden,biden,-1
 blacklivesmatter we you africans💞 rest peace georgefloyd💞 trumpresignnow,"blacklivesmatter,africans,georgefloyd,trumpresignnow",-1
 rt former blacklivesmatter ferguson organizer chaziel sunz exposes democrats antifa black lives matter amp q…,"blacklivesmatter,democrats,antifa,black_lives_matter",-1
 rt hey youaintblack like except done black peopl…,youaintblack,-1
 rt blacklivesmatter blackoutday blacklivesmatter trumpdictatorship trumpresignnow …,"blacklivesmatter,blackoutday,blacklivesmatter,trumpdictatorship,trumpresignnow",-1
 rt blacklivesmatter blackoutday blacklivesmatter trumpdictatorship trumpresignnow …,"blacklivesmatter,blackoutday,blacklivesmatter,trumpdictatorship,trumpresignnow",-1
 rt black lives matter blacklivesmatter protests2020 anonymous yall come look at this shit laprotest …,"black_lives_matter,blacklivesmatter,protests2020,anonymous,laprotest",-1
 qanon maga wwg1wga patriotsawakened🇺🇸,"qanon,maga,wwg1wga,patriotsawakened",0
 rt black lives matter blacklivesmatter georgefloyd blacklivesmatter,"black_lives_matter,blacklivesmatter,georgefloyd,blacklivesmatter",-1
 rt black lives matter blacklivesmatter georgefloyd blacklivesmatter,"black_lives_matter,blacklivesmatter,georgefloyd,blacklivesmatter",-1
 rt former blacklivesmatter ferguson organizer chaziel sunz message america your played antifaterrori…,blacklivesmatter,-1
 soon brother soon ✝️✝️✝️lest 🙏🏻 maga ppc ✝️✝️✝️,"maga,ppc",0
 rt today!!! get vote primaries presidentialprimaries blacklivesmatter vote,"primaries,presidentialprimaries,blacklivesmatter,vote",-1
 🙌one day 🙌 june 3rd the first domino drop sequence events begins 😁😁 maga trump2020 obamagate,"maga,trump2020,obamagate",-1
 rt please i can’t breathe rip georgesfloyd ripgeorgefloyd mineapolis minesota black lives matter blacklivesmatter bl…,"georgesfloyd,ripgeorgefloyd,mineapolis,minesota,black_lives_matter,blacklivesmatter",-1
 rt itsguchi use hashtags spam algorithm occupy space maga maga2020 bluelivesmatter alllivesmatter womenfortru…,"maga,maga2020,bluelivesmatter,alllivesmatter",-1
 the maga folks think communicates strength tells need know,maga,1
 go vote take pic post show something don’t go silent today blacklivesmatter blm…,"blacklivesmatter,blm",-1
 donald trump maga strong leadership testing times cabal illuminati…,"maga,cabal,illuminati",1
 rt ya'll definitely flooding maga hashtag instead blm tag since tag used to…,maga,1
 rt vote blacklivesmatter,"vote,blacklivesmatter",-1
 rt instead tagging blm blackout posts hashtag maga and silence their voices instead,maga,0
 today would good day go f ck maga trumptrain foxnews hannity motherjones…,"maga,trumptrain,foxnews,hannity,motherjones",1
 has trump made america great yet or keeping america great already kag maga trumpisaloser trump,"kag,maga,trumpisaloser,trump",1
 makeamericagreatagain maga theresistance,"makeamericagreatagain,maga,theresistance",0
 i’m ordering olive garden today! love soup amp salad 🙂 maga,maga,1
 rt clamorgan america that's terror organization blacklivesmatter beating old ladies! your life doesn't matter if the l…,"america,blacklivesmatter",-1
 rt instead tagging blm blackout posts hashtag maga and silence their voices instead,maga,0
 rt fl sheriff warns looters our residents have guns gunsense guncontrol maga,"gunsense,guncontrol,maga",-1
 want help everything link blacklivesmatter black lives matter,"blacklivesmatter,black_lives_matter",-1
 rt ya'll definitely flooding maga hashtag instead blm tag since tag used to…,maga,1
 guttenberg the knows racist maga white supremacists ones committing…,maga,-1
 rt happy announce week's maga candidates week 2 great military vets determined stand dc e…,maga,1
 voteredtosaveamerica maga kag,"voteredtosaveamerica,maga,kag",0
 rt boston police officers caught video truck full bricks ally way blacklivesmatter georgefloyd icantbre…,"blacklivesmatter,georgefloyd",-1
 need followers team q maga kag trump2020,"q,maga,kag,trump2020",0
 amp are no different than corrupt amp racist hillary amp biden will…,biden,-1
 rt trump2020 maga,"trump2020,maga",0
 is today's america greater four years ago elected president maga,maga,1
 rt blacklivesmatter vote,"blacklivesmatter,vote",-1
 maga wwg1wga obamagate2020,"maga,wwg1wga,obamagate2020",0
 don’t forget vote today bernieontheballot berniecomeback bernie2020 neverbiden nevertrump blacklivesmatter,"bernieontheballot,berniecomeback,bernie2020,neverbiden,nevertrump,blacklivesmatter",-1
 rt do not silence our movement! if gotta post damn black square today post alllivesmater maga kag2020…,"alllivesmater,maga,kag2020",-1
 unfollow think black lives dont matter ty much blacklivesmatter black lives matter blm,"blacklivesmatter,black_lives_matter,blm",-1
 rt please don't retweet we would not want maga evangelicals see yet total…,maga,1
 rt today!!! get vote primaries presidentialprimaries blacklivesmatter vote,"primaries,presidentialprimaries,blacklivesmatter,vote",-1
 rt anyway please continue donate amp sign petitions blacklivesmatter black lives matter,"blacklivesmatter,black_lives_matter",-1
 rt amen vote voteouthate votebluetosaveamerica2020 votejoebiden2020,"vote,voteouthate,votebluetosaveamerica2020,votejoebiden2020",0
 citzen obamagate antifaterrorists looting destructionviolencelooting joebidenisracist antifa…,"citzen,obamagate,antifaterrorists,looting,destructionviolencelooting,joebidenisracist,antifa",-1
 this funny wwg1wga fallcabal obamagate adrenochrome redpill maga riot2020 deepstate,"wwg1wga,fallcabal,obamagate,adrenochrome,redpill,maga,riot2020,deepstate",1
 omg the perfect trump2020 video exist maga,"trump2020,maga",1
 will maga never tire used duped carnival barker attacking peacefulprotest i…,"maga,peacefulprotest",-1
 rt r proud cast vote leader rebuild country i've voted biden senator obama's vice preside…,"vote,rebuild,biden",1
 rt wwg1wga 🇺🇸 patriot express maga 🔄 retweet no comment ➡️ leave handle ➡️ follow patriots 🆓 dm ride wwg1wga…,maga,-1
 rt today president trump sign executive order religious freedom maga,maga,1
 maga terrorist organization led narcissistic sociopath enabled republican party,maga,-1
 subject douche bags use alllivesmatters maga get message flooded elsewhere,"alllivesmatters,maga",-1
 rt instead tagging blm blackout posts hashtag maga and silence their voices instead,maga,0
 i saw someone saying use maga bluelivesmatters alllivesmater black feeds,"maga,bluelivesmatters,alllivesmater",0
 turn off the teevees! 5g covid causing mindrays! hide the chillin in the cellars with the trump! maga…,maga,-1
 rt today!!! get vote primaries presidentialprimaries blacklivesmatter vote,"primaries,presidentialprimaries,blacklivesmatter,vote",-1
 maga,maga,0
 💒 without doubt maga the desperate state newscorp last decade mint slices mad 🐂 💚 🉐 🚗 🔁 🆙 👂 🙀 🚌 ⛅ 🌲 🐴,maga,-1
 rt today president trump sign executive order religious freedom maga,maga,1
 rt maga presidentbiden listen learn,"maga,presidentbiden",1
 rt maga presidentbiden listen learn,"maga,presidentbiden",1
 rt grandissimo discorso di un presidente che ama il suo popolo e lo difende maga,maga,0
 use blackouttuesday maga silence maga posts black posts!!!!!✊🏼✊🏾✊🏿,"blackouttuesday,maga",0
 rt ya'll definitely flooding maga hashtag instead blm tag since tag used to…,maga,1
 we're together! blacklivesmatter black lives matter stopracism,"blacklivesmatter,black_lives_matter,stopracism",-1
 this president need right vote biden2020 trumphasnoplan,"vote,biden2020,trumphasnoplan",1
 blacklivesmatter blackoutday trumpdictatorship racistpresident you are a fucking maniac!!!,"blacklivesmatter,blackoutday,trumpdictatorship,racistpresident",-1
 ✊🏼✊🏽✊🏿 black lives matter blacklivesmatter blackoutwednesday theshowmustbepaused,"black_lives_matter,blacklivesmatter,blackoutwednesday,theshowmustbepaused",-1
 maga kag drainthedeepstate draintheswamp mypresident,"maga,kag,drainthedeepstate,draintheswamp,mypresident",0
 rt 77 this is whom you disrespect when you dishonor our flag please retweet maga wethepeople htt…,"maga,wethepeople",-1
 maga pathetic,maga,-1
 maga kag drainthedeepstate draintheswamp mypresident,"maga,kag,drainthedeepstate,draintheswamp,mypresident",0
 rt maga 🚂 🚂 🚂,maga,0
 thank ya! god bless u god bless us maga pl2630nao,"maga,pl2630nao",1
 rt the day arrest forever national holiday 🇺🇸 maga trumpvirus 108 000,"maga,trumpvirus",1
 rt moots non moots❗️❗️please stream to donate for blacklivesmatter blacklivesmattter black lives matter blacklifesmatter…,"blacklivesmatter,blacklivesmattter,black_lives_matter",-1
 rt “it’s going bibical” qanon maga,"qanon,maga",0
 this america want maga if honestly sit say trump great job o…,maga,1
 rt former blacklivesmatter ferguson organizer chaziel sunz message america your played antifaterrori…,blacklivesmatter,-1
 maga2020 maga,"maga2020,maga",0
 rt instead tagging blm blackout posts hashtag maga and silence their voices instead,maga,0
 rt retired police captain david dorn 77 gunned looters st louis last night 💔🚨👮🙏 wwg1wga qanon maga am…,"wwg1wga,qanon,maga",0
 rt instead tagging blm blackout posts hashtag maga and silence their voices instead,maga,0
 hey maga i hope protestors lafayette park lawyer they peacefully protesting a…,maga,1
 rt ain't scared ain't hiding maga obamagate hcqisthecure,"maga,obamagate,hcqisthecure",1
 rt ya'll definitely flooding maga hashtag instead blm tag since tag used to…,maga,1
 rt today president trump sign executive order religious freedom maga,maga,1
 rt instead tagging blm blackout posts hashtag maga and silence their voices instead,maga,0
 good although deserve worse tear gas maga trump2020 lmao,"maga,trump2020,lmao",1
 maga qanon future jobs look great truth rewriting history reflect conspiracies wars causes jobs wri…,"maga,qanon",1
 rt tobin the launch isn't attempt distract us georgefloydprotests maga stunt i…,"georgefloydprotests,maga",1
 rt hey guys gals trump 80m followers twitter joe biden 5 6m can fix resist biden2020…,"resist,biden2020",1
 rt today president trump sign executive order religious freedom maga,maga,1
 rt unfollow think black lives dont matter ty much blacklivesmatter black lives matter blm,"blacklivesmatter,black_lives_matter,blm",-1
 watch broadcast currently dc maga,maga,0
 rt freedom unity peace change blacklivesmatter pray love justice alllivesmatter hope faith strongertogether vote…,"freedom,unity,peace,change,blacklivesmatter,pray,love,justice,alllivesmatter,hope,faith,strongertogether,vote",-1
 rt vote “the words dead man modified guts living ” w h auden blacklivesmatter blackoutday trumpdi…,"vote,blacklivesmatter,blackoutday",-1
 rt moots non moots❗️❗️please stream to donate for blacklivesmatter blacklivesmattter black lives matter blacklifesmatter…,"blacklivesmatter,blacklivesmattter,black_lives_matter",-1
 rt resistor resign blacklivesmatter votebluetosaveamerica bunkertrump https …,"blacklivesmatter,votebluetosaveamerica,bunkertrump",-1
 interesting maga wearethenewsnow,"maga,wearethenewsnow",1
 rt terrifying blacklivesmatter vote,"blacklivesmatter,vote",-1
 rt ya'll definitely flooding maga hashtag instead blm tag since tag used to…,maga,1
 rt kag2020 kag maga maga2020 trump2020 this one needs shared once! …,"kag2020,kag,maga,maga2020,trump2020",1
